Site,Group\, Formation\, or Unit,Age,Continent,Country,Noteworthiness,Latitude,Longitude
,Bridger Formation,Eocene,North America,USA: Wyoming,,43.171944,-109.674167
,Bromide Formation,Ordovician,North America,USA: Oklahoma,Trilobites\, Echinoderms,34,-97
Badlands National Park,Brule Formation,Oligocene,North America,USA\ South Dakota,Mammals\, sunfish\, cat fish,43.75,-102.5
Kootenay National Park,Burgess Shale,Cambrian,North America,Canada: British Columbia,,50.88305556,-116.04916667
Calvert Cliffs State Park,Calvert Formation,Miocene,North America,USA: Maryland,Middle Miocene Climate Transition and Middle Miocene disruption,38.40277778,-76.42194444
,Cedar Mountain Formation,Cretaceous,North America,USA: Colorado and Utah,Non-Avian Dinosaurs\, Amphibians\, Fish\, Mammals\, other reptiles,40.4,-109.3
,Cerro del Pueblo Formation,Cretaceous,North America,Mexico,Dinosaurs,26.1,-101.1
,Cerro Huerta Formation,Cretaceous,North America,Mexico,,26.1,-101.1
,Chandler Bridge Formation,Oligocene,North America,USA: South Carolina,,32.8,-79.8
Goodsell Ridge,Chazy Formation,Ordovician,North America,USA: Vermont,Early Reef\: bryozoa\, corals\, stromatoporoids,44.86638889,-73.33083333
,Clinton Group,Silurian,North America,USA: New York\, Pennsylvania\, Maryland\, West Virginia,,40.73472222,-77.77833333
Como Bluff,Cloverly Formation,Cretaceous,North America,USA: Montana\, Wyoming,Non-Avian Dinosaurs\, some mammals\, turtles\, crocodilians\, and fish,41.91611111,-106.06416667
,Dakota Formation,Cretaceous,North America,USA: Iowa\, Kansas\, Minnesota\, Nebraska\, Wisconsin,Non-Avian Dinosaurs and Dinosaur tracks,42.307,-96.454
Denali National Park and Preserve,Cantwell Formation,Cretaceous,North America,USA: Alaska,Non-Avian Dinosaur tracks\, plants\, insects,63.33333333,-150.5
Dinosaur Provincial Park,Dinosaur Park Formation,Cretaceous,North America,Canada: Alberta,Non-Avian Dinosaurs,50.76166667,-111.485
Dinosaur State Park,,Jurassic,North America,USA: Connecticut,Dinosaur tracks,41.65083333,-72.65777778
Driftwood Canyon Provincial Park,,Eocene,North America,Canada: British Columbia,Insects and fish,54.826,-127.022
Drumheller\, Badlands,,Triassic - Cretaceous,North America,Canada: Alberta,,51.46361111,-112.71944444
Ellisdale Fossil Site,Marshalltown Formation,Cretaceous,North America,USA: New Jersey,,40.15554694,-74.64645806
Falls of the Ohio,Jefferson Limestone,Devonian,North America,USA: Indiana,Corals (Tabulate coral and Rugosa),38.27665,-85.76544
Florissant Fossil Beds,Florissant Formation,Eocene,North America,USA: Colorado,,38.91374,-105.28627
Mazon Creek,Francis Creek Shale,Carboniferous,North America,USA: Illinois,,41.321,-88.346
Ghost Ranch,,Triassic,North America,USA: New Mexico,Non-Avian Dinosaurs,36.32978889,-106.474
Hagerman Fossil Beds National Monument,Glenns Ferry Formation,Pliocene - Pleistocene,North America,USA: Idaho,Hagerman horse ('American Zebra')\, Camelops,42.79027778,-114.94527778
Dinosaur Valley State Park,Glen Rose Formation,Cretaceous,North America,USA: Texas,Dinosaur footprints,32.25325,-97.81858611
Gray Fossil Site,,Miocene,North America,USA: Tennessee,Mammals,36.386,-82.498
Fossil Butte National Monument,Green River Formation,Eocene,North America,USA: Utah\, Colorado\, and Wyoming,Fishes,41.86444444,-110.77583333
,Hell Creek Formation,Cretaceous,North America,USA: Montana\, North Dakota\, South Dakota\, and Wyoming,,46.9,-101.5
Hilda mega-bonebed,Dinosaur Park Formation,Cretaceous,North America,Canada: Alberta,Dinosaurs,49.2,-110.4
Joggins Fossil Cliffs,,Carboniferous,North America,Canada: Nova Scotia,,45.69188333,-64.44356944
John Day Fossil Beds National Monument,John Day Formation,Oligocene - Miocene,North America,USA: Oregon,Mammals: dogs\, cats\, oreodonts\, saber-toothed cats\, horses\, camels\, and rodents,44.55583333,-119.64527778
Jurassic National Monument,Morrison Formation,Jurassic,North America,USA: Utah,Non-Avian Dinosaurs and other vertebrates,39.32282,-110.68951
Clarno Unit\, John Day Fossil Beds National Monument,Clarno Formation,Eocene,North America,USA: Oregon,Plants: tropical and subtropical nuts\, fruits\, roots\, branches\, and seeds,44.55583333,-119.64527778
,Judith River Formation,Cretaceous,North America,USA: Montana,,47.66666667,-109.65
,Kayenta Formation (Glen Canyon Group),Jurassic,North America,USA: Arizona\, Colorado\, Nevada\, and Utah,Non-Avian Dinosaurs and other vertebrates,37.8,-110.6
Klondike Mountain,Klondike Mountain Formation,Eocene,North America,USA: Washington,Plants and Insects,48.7,-118.7
La Brea Tar Pits,,Pleistocene,North America,USA: California,,34.0628,-118.356
Hadrosaurus Foulkii Leidy Site,Woodbury Formation,Cretaceous,North America,USA: New Jersey,Dinosaurs: Hadrosaurus,39.91018,-75.02856
The Mammoth Site,,Pleistocene,North America,USA: South Dakota,,43.42471,-103.48313
Manuels River,,Cambrian,North America,Canada: Newfoundland,Trilobites,47.52722222,-52.95166667
McAbee Fossil Beds,,Eocene,North America,Canada: British Columbia,Plants\, insects\, and fish,50.797183,-121.14115
Melbourne Bone Bed,,Pleistocene,North America,USA: Florida,Megafauna\, Hominin,28.1,-80.6
Miguasha National Park,,Devonian,North America,Canada: Québec,,48.11055556,-66.36944444
Mistaken Point,Mistaken Point Formation,Precambrian,North America,Canada,Ediacara biota (early multicellular life),46.63194444,-53.19027778
Como Bluff,Morrison Formation,Jurassic,North America,Canada/United States,,41.91611111,-106.06416667
,Nanjemoy Formation,Eocene,North America,USA: Virginia,,38.8,-76.7
,Niobrara Formation,Cretaceous,North America,USA: Kansas\, Nebraska,Marine reptiles,42.746912,-98.039803
Edson Quarry,Ogallala Formation,Miocene - Pliocene,North America,USA: Kansas,,36.99055556,-101.44777778
Lake Meredith National Recreation Area,Ogallala Formation,Miocene - Pliocene,North America,USA: Texas,,35.71472222,-101.55277778
,Oldman Formation,Cretaceous,North America,Canada: Alberta,Non-Avian Dinosaurs,49.62805556,-112.88972222
Champlain Bridge,Pamelia Formation,Ordovician,North America,Canada: Quebec\, Gatineau\, Aylmer,,45.40972222,-75.75944444
,Pikeville Formation,Carboniferous,North America,USA: Kentucky,,40.8781,-77.7996
Pipe Creek Sinkhole,,Pliocene,North America,USA: Indiana,,40.46081,-85.79462
Minneapolis–Saint Paul (Mississippi River bluffs),Platteville Limestone,Ordovician,North America,USA: Minnesota,,44.95,-93.2
,Pocahontas Formation,Carboniferous,North America,USA: West Virginia\, Virginia,,40.8781,-77.7996
Burgoon Run,Pocono Formation,Carboniferous,North America,USA: Maryland\, Pennsylvania\, West Virginia,,40.47,-78.35
,Price West Formation,Carboniferous,North America,USA: West Virginia,,32.7364,-89.6678
Purgatoire River track site,,Jurassic,North America,USA: Colorado,Dinosaur Footprints,37.61682,-103.59808
John Day Fossil Beds National Monument,Rattlesnake Formation,Miocene,North America,USA: Oregon,,44.55583333,-119.64527778
Red Gulch Dinosaur Tracksite,Sundance Formation,Jurassic,North America,USA: Wyoming,Dinosaur Footprints,44.4862,-107.78748
Walcott-Rust quarry,Rust Formation,Ordovician,North America,USA: New York,,43.277222,-75.138889
Schoonmaker Reef and Soldiers' Home Reef,,Silurian,North America,USA: Wisconsin,Reefs (the first discovered in North America),43.04722222,-87.99361111
Como Bluff,Sundance Formation,Jurassic,North America,USA: Wyoming,,41.91611111,-106.06416667
Wichita Falls,Texas Red Beds,Permian,North America,USA: Texas,Tetrapods,33.90944444,-98.49944444
Theodore Roosevelt National Park,Tongue River Formation,Paleocene,North America,USA: North Dakota,Mammals\, reptiles\, birds,46.966667,-103.45
Egg Mountain site,Two Medicine Formation,Cretaceous,North America,USA: Montana,Dinosaurs\, particularly eggs and young,48.074167,-112.299444
,Washakie Formation,Eocene,North America,USA: Wyoming,,41.7,-109.0
Wheeler Amphitheater,Wheeler Shale,Cambrian,North America,USA: Utah,Trilobites,39.25,-113.33
,White River Formation,Eocene – Oligocene,North America,USA: Colorado,,43.2,-107.1
,Willwood Formation,Paleocene - Eocene,North America,USA: Wyoming,Trace fossils,44.5,-108.0
Arlington Archosaur Site,Woodbine Formation,Cretaceous,North America,USA: Texas,Dinosaurs and crocodilians,33.61038889,-97.01562222
Ziegler Reservoir fossil site,,Pleistocene,North America,USA: Colorado,Mastodon and other ice age vertebrates,39.21,-106.93
Zion National Park,Navajo Sandstone,Triassic – Jurassic,North America,USA: Utah,,37.3,-113.0
,Zuni Basin,Cretaceous,North America,USA: New Mexico,,34.64555556,-109.67444444
Agate Fossil Beds National Monument,Arikaree Group,Miocene,North America,USA: Nebraska,,42.421703,-103.75388
Potomac River,Aquia Formation,Paleocene,North America,USA: Maryland and Virginia,,37.99916667,-76.24972222
Waco Mammoth National Monument,,Pleistocene,North America,USA:Texas,,31.606,-97.175
Tanis,Hell Creek Formation,Cretaceous - Holocene,North America,United States,Apparent Lagerstätte and killing field capturing the first minutes and hours after the Chicxulub impactor and initiation of the KPg extinction event,46.9,-101.5
,Balabansai Formation,Jurassic,Asia,Kazakhstan,Dinosaurs,41.3,72.1
,Barun Goyot Formation,Cretaceous,Asia,Mongolia,,43.5,99.8
,Bayan Shireh Formation,Cretaceous,Asia,Mongolia,,44.3,109.2
,Baynunah Formation,Miocene,Asia,United Arab Emirates,,24.03,53.03833333
,Bissekty Formation,Cretaceous,Asia,Uzbekistan,,42.1,62.7
,Bostobynskaya Formation,Cretaceous,Asia,Kazakhstan,Dinosaurs,45.9,64.7
,Chaomidianzi Formation,Cretaceous,Asia,China,,41.533,121.2383
,Rizal\, Kalinga,Pleistocene,Asia,Philippines,Hominin,17.5,121.6
Callao Cave\, Cagayan Valley,,Pleistocene,Asia,Philippines,Hominin,17.70326111,121.82375
Tabon Cave\, Palawan,,Pleistocene,Asia,Philippines,Hominin,9.279882,117.9814
,Dashanpu Formation,Jurassic,Asia,China,Dinosaurs,29.2,105.9
Flaming Cliffs,Djadochta Formation,Cretaceous,Asia,Mongolia,Dinosaurs\, eggs,44.13851667,103.72778333
,Ejinhoro Formation,Cretaceous,Asia,China,Dinosaurs,39.4,108.4
,Es Skhul,Pliocene,Asia,Israel: Mount Carmel,Hominin,32.67066667,34.96613889
,Irdin Manha Formation,Eocene,Asia,Mongolia,,43.7,112.0
,Iren Dabasu Formation,Cretaceous,Asia,China,Dinosaurs,43.8,112.4
,Iwaki Formation,Oligocene,Asia,Japan,,37.11505556,140.84072222
,Jindong Formation,Cretaceous,Asia,Korea,,35.4,128.4
,Jiufotang Formation,Cretaceous,Asia,China,Feathered dinosaurs\, birds\, pterosaurs,41.2,119.4
Kampong Trach cave,,Miocene,Asia,Cambodia,,10.55,104.46666667
,Khukhtek Formation,Cretaceous,Asia,Mongolia,Dinosaurs,45.9,108.4
Balasinor,,Cretaceous,Asia,India,Dinosaurs,22.95,73.33
Deh Alireza\, Kerman,,Jurassic,Asia,Iran,Dinosaur footprints\, fish,30.971667,56.551667
Kitadani Quarry,Kitadani Formation,Cretaceous,Asia,Japan,,36.1,136.6
,Kota Formation,Jurassic,Asia,India,,18.9,80.0
Tategahana\, Lake Nojiri,,Pleistocene,Asia,Japan,Paleolithic artifacts,36.81666667,138.2
,Lameta Formation,Cretaceous,Asia,India,,23.2,80.0
Liang Bua Cave,,Pleistocene,Asia,Indonesia: Flores,Hominin,-8.53416667,120.46027778
,Lufeng Formation,Jurassic,Asia,China,,25.0,102.1
Luoping,,Triassic,Asia,China: Yunnan,,34.6197,112.4539
Chengjiang County,Maotianshan Shales,Cambrian,Asia,China,,24.6506,102.935
Minatogawa Limestone Quarry,,Miocene - Pleistocene,Asia,Japan,Hominin,26.07968,127.67856
Mandla Plant Fossils National Park,,Jurassic - Oligocene,Asia,India,,23.11031667,80.61371389
,Nemegt Formation,Cretaceous,Asia,Mongolia,Dinosaur fossil\, Riverine animals: fish\, turtles\, crocodilians\, birds,43.5,101.0
Ngandong,,Pleistocene,Asia,Indonesia: Java,Hominin: Solo Man,-6.78333333,112.55
Sangiran,,Pleistocene,Asia,Indonesia,Hominin,-7.45,110.83333333
Shivalik Fossil Park,Siwaliks formations,Pleistocene,Asia,India,,30.64,77.44
,Sao Khua Formation,Cretaceous,Asia,Thailand,Dinosaurs,16.7,102.3
,Shishugou Formation,Jurassic,Asia,China,Dinosaurs,44.5,90.2
Tabun Cave,,Pliocene,Asia,Israel: Mount Carmel,Hominin,32.6705,34.9655
Tham Khuyen cave,,Jurassic,Asia,Vietnam,,21.9236,106.4139
,Tiaojishan Formation,Jurassic,Asia,China,Plants\, with dinosaurs\, pterosaurs\, and insects,41.3,119.2
Trinil,,Pleistocene,Asia,Indonesia: Java,Hominin\, "Java Man",-7.3743,111.3578
,Tuchengzi Formation,Cretaceous,Asia,China,,42.9,124.0
,Udurchukan Formation,Cretaceous,Asia,Russia,Dinosaurs,49.5,129.5
,Uhangri Formation,Cretaceous,Asia,Korea,Pterosaur tracks,34.6,126.4
,Wucaiwan Formation,Jurassic,Asia,China,,44.5,90.2
,Xiagou Formation,Cretaceous,Asia,China,,39.9,96.8
,Yixian Formation,Cretaceous,Asia,China,Jehol Biota,41.533,121.2383
Zhoukoudian,,Pleistocene,Asia,China,Hominin\, "Peking Man",39.68916667,115.92388889
Shanwang National Geological Park,Shanwang Formation,Miocene,Asia,China: Shandong,Exceptional preservation of external body features such as skin\, hair\, scales and feathers,36.55,118.73333333
Aetokremnos,,Holocene,Europe,Cyprus,,34.57055556,32.99055556
Monte San Giorgio,,Triassic,Europe,Switzerland and Italy,,45.91361111,8.94972222
Atapuerca,,Pleistocene,Europe,Spain,Hominin,42.366667,-3.522222
Aust Cliff,,Triassic,Europe,England,Insects\, Rhaetic bone bed,51.60175,-2.62947
Batallones,,Miocene,Europe,Spain,Carnivora,40.17216111,-3.71428333
Schmerling Caves,,Holocene,Europe,Belgium,Hominin\, Engis 2 was the first Neanderthal fossil ever found,50.592222,5.408889
Buñol,,Miocene,Europe,Spain,,39.41944444,-0.79055556
Ceprano,,Pleistocene,Europe,Italy,Hominin\, Homo cepranensis,41.55,13.516667
Isernia La Pineta,,Pleistocene,Europe,Italy,,41.6,14.23333333
Baccinello,,Miocene,Europe,Italy,Hominin: Oreopithecus bambolii,42.79055556,11.36527778
Binagadi asphalt lake,,Pleistocene,Europe,Azerbaijan,Birds\, Mammals,40.46777778,49.80111111
,Crevillente,Miocene,Europe,Spain,,38.24861111,-0.80888889
Les Eyzies-de-Tayac-Sireuil,,Pleistocene,Europe,France,Hominin: Crô-Magnon,44.936,1.018
Cuevas de los Murciélagos,,Pleistocene - Holocene,Europe,Spain: La Palma\, Canary Islands,,28.7625,-17.84
Dmanisi,,Pleistocene,Europe,Georgia,Hominin (Homo erectus georgicus)\, stone tools,41.31666667,44.35
Dob's Linn,,Ordovician - Silurian,Europe,Scotland,Graptolites,55.42972222,-3.26972222
Dorkovo,,Pliocene,Europe,Bulgaria,Mastodon,42.05,24.133333
